Dates,MXWO Index,UKX Index,IBOV Index,SPTSX Index,IMOEX Index,MXWD Index,KOSPI Index,ASE Index,FTSEMIB Index,SPX Index,SHCOMP Index
1990/6/18,515.82,2370.5,0,3519.9,#N/A N/A,126.95,756.39,1330.87,#N/A N/A,356.88,#N/A N/A
1990/6/19,515.29,2369.7,0,3529.1,#N/A N/A,126.83,749.61,1353.08,#N/A N/A,358.47,#N/A N/A
1990/6/20,516.8,2371.4,0,3530.5,#N/A N/A,127.21,740.84,1394.14,#N/A N/A,359.1,#N/A N/A
1990/6/21,516.76,2370.3,0,3526.3,#N/A N/A,127.21,743.17,1422.44,#N/A N/A,360.47,#N/A N/A
1990/6/22,513.78,2378.5,0,3490.8,#N/A N/A,126.47,747.37,1428.78,#N/A N/A,355.43,#N/A N/A
1990/6/25,509.32,2398.5,0,3474.2,#N/A N/A,125.4,739.8,1491.84,#N/A N/A,352.31,#N/A N/A
1990/6/26,511.29,2399.8,0,3495.2,#N/A N/A,125.9,736.42,1572.29,#N/A N/A,352.06,#N/A N/A
1990/6/27,517.67,2373.6,0,3519.3,#N/A N/A,127.46,740.01,1562.38,#N/A N/A,355.14,#N/A N/A
1990/6/28,518.51,2355.7,0,3530,#N/A N/A,127.65,732.64,1556.98,#N/A N/A,357.63,#N/A N/A
1990/6/29,520.41,2374.7,0,3544,#N/A N/A,128.12,720,1553.43,#N/A N/A,358.02,#N/A N/A
1990/7/2,522.96,2372,0,3544,#N/A N/A,128.76,713.18,1579.67,#N/A N/A,359.54,#N/A N/A
1990/7/3,524,2371.7,0,3560,#N/A N/A,129.02,745.04,1632.03,#N/A N/A,360.16,#N/A N/A
1990/7/4,527.59,2355.5,0,3575.3,#N/A N/A,129.88,735.3,1650.46,#N/A N/A,360.16,#N/A N/A
1990/7/5,523.26,2331.4,0,3551.3,#N/A N/A,128.81,723.1,1684.31,#N/A N/A,355.68,#N/A N/A
1990/7/6,524.42,2340,0,3549.8,#N/A N/A,129.09,716.17,1684.31,#N/A N/A,358.42,#N/A N/A
1990/7/9,525.96,2337.6,0,3540.7,#N/A N/A,129.45,715.28,1658.03,#N/A N/A,359.52,#N/A N/A
1990/7/10,524.49,2327.6,0,3528,#N/A N/A,129.08,718.75,1598.46,#N/A N/A,356.49,#N/A N/A
1990/7/11,528.28,2360.5,0,3544.6,#N/A N/A,130.03,711,1598.46,#N/A N/A,361.23,#N/A N/A
1990/7/12,530.27,2370.5,0,3569.8,#N/A N/A,130.54,701.91,1560.76,#N/A N/A,365.44,#N/A N/A
1990/7/13,536.01,2382.2,0,3596.4,#N/A N/A,131.95,688.78,1598.65,#N/A N/A,367.31,#N/A N/A
1990/7/16,539.82,2406.5,0,3638.9,#N/A N/A,132.9,683.01,1661.64,#N/A N/A,368.95,#N/A N/A
1990/7/17,539.44,2415,0,3613.4,#N/A N/A,132.83,683.01,1641.07,#N/A N/A,367.52,#N/A N/A
1990/7/18,538.72,2402,0,3580.9,#N/A N/A,132.68,698.01,1603.05,#N/A N/A,364.22,#N/A N/A
1990/7/19,538.06,2387.3,0,3575,#N/A N/A,132.54,693.44,1597.9,#N/A N/A,365.32,#N/A N/A
1990/7/20,532.85,2400,0,3577.7,#N/A N/A,131.27,694.64,1597.9,#N/A N/A,361.61,#N/A N/A
1990/7/23,526.05,2359.7,0,3549.3,#N/A N/A,129.62,681.38,1604.06,#N/A N/A,355.31,#N/A N/A
1990/7/24,524.21,2360.9,0,3547.7,#N/A N/A,129.18,679.67,1533.24,#N/A N/A,355.79,#N/A N/A
1990/7/25,524.18,2364.7,0,3554.5,#N/A N/A,129.17,685.27,1508.27,#N/A N/A,357.09,#N/A N/A
1990/7/26,519.77,2344.1,0,3543.5,#N/A N/A,128.09,676.83,1507.12,#N/A N/A,355.91,#N/A N/A
1990/7/27,516.22,2330.1,0,3542,#N/A N/A,127.21,673.16,1507.12,#N/A N/A,353.44,#N/A N/A
1990/7/30,517.42,2316.5,0,3540.8,#N/A N/A,127.51,673.8,1527.66,#N/A N/A,355.55,#N/A N/A
1990/7/31,524.18,2326.2,0,3561.2,#N/A N/A,129.16,678.38,1521.01,#N/A N/A,356.15,#N/A N/A
1990/8/1,522.79,2339.1,0,3569.2,#N/A N/A,128.84,690.21,1501.57,#N/A N/A,355.52,#N/A N/A
1990/8/2,511.15,2304.7,0,3547,#N/A N/A,126.02,688.28,1489.01,#N/A N/A,351.48,#N/A N/A
1990/8/3,503.28,2284.6,0,3517,#N/A N/A,124.07,678.37,1489.01,#N/A N/A,344.86,#N/A N/A
1990/8/6,488.57,2220.1,0,3517,#N/A N/A,120.43,661.4,1405.09,#N/A N/A,334.43,#N/A N/A
1990/8/7,486.81,2235.8,0,3470.7,#N/A N/A,119.91,655.88,1304.53,#N/A N/A,334.83,#N/A N/A
1990/8/8,488.45,2237.5,0,3476.1,#N/A N/A,120.35,646.03,1354.5,#N/A N/A,338.35,#N/A N/A
1990/8/9,488.54,2244.6,0,3477,#N/A N/A,120.3,648.95,1412.22,#N/A N/A,339.94,#N/A N/A
1990/8/10,484.34,2233.8,0,3476.7,#N/A N/A,119.29,658.94,1412.22,#N/A N/A,335.52,#N/A N/A
1990/8/13,481.11,2219.6,0,3478.6,#N/A N/A,118.52,645.86,1447.85,#N/A N/A,338.84,#N/A N/A
1990/8/14,484.37,2234,0,3497.6,#N/A N/A,119.3,632.3,1454.52,#N/A N/A,339.39,#N/A N/A
1990/8/15,496.1,2239.3,0,3508.1,#N/A N/A,122.17,632.3,1454.52,#N/A N/A,340.06,#N/A N/A
1990/8/16,488.07,2222.2,0,3510,#N/A N/A,120.23,625.03,1496.61,#N/A N/A,332.39,#N/A N/A
1990/8/17,480.16,2177.1,0,3492,#N/A N/A,118.28,623.9,1496.61,#N/A N/A,327.83,#N/A N/A
1990/8/20,478.08,2156.6,0,3487.7,#N/A N/A,117.76,621.33,1425.02,#N/A N/A,328.51,#N/A N/A
1990/8/21,469.88,2107.8,0,3457.7,#N/A N/A,115.73,610.47,1366.85,#N/A N/A,321.86,#N/A N/A
1990/8/22,463.28,2104.9,0,3431.3,#N/A N/A,114.05,607.16,1368.05,#N/A N/A,316.55,#N/A N/A
1990/8/23,448.34,2075.1,0,3359.3,#N/A N/A,110.35,603.62,1326.44,#N/A N/A,307.06,#N/A N/A
1990/8/24,454.31,2086.4,0,3361.3,#N/A N/A,111.77,594.23,1326.44,#N/A N/A,311.51,#N/A N/A
1990/8/27,469.19,2086.4,0,3358.3,#N/A N/A,115.45,614.29,1357.48,#N/A N/A,321.44,#N/A N/A
1990/8/28,474.72,2126.1,0,3354.3,#N/A N/A,116.88,642.42,1398.82,#N/A N/A,321.34,#N/A N/A
1990/8/29,471.58,2125.7,0,3339.8,#N/A N/A,116.1,647.77,1376.98,#N/A N/A,324.19,#N/A N/A
1990/8/30,472.55,2153.6,0,3329.9,#N/A N/A,116.34,626.85,1379.26,#N/A N/A,318.71,#N/A N/A
1990/8/31,474.13,2162.8,0,3346.3,#N/A N/A,116.75,606.87,1379.26,#N/A N/A,322.56,#N/A N/A
1990/9/3,469.9,2166.7,0,3346.3,#N/A N/A,115.73,635.37,1397.05,#N/A N/A,322.56,#N/A N/A
1990/9/4,466.21,2147.9,0,3333.3,#N/A N/A,114.83,632.34,1370.4,#N/A N/A,323.09,#N/A N/A
1990/9/5,465.67,2152,0,3333.2,#N/A N/A,114.68,625,1315.05,#N/A N/A,324.39,#N/A N/A
1990/9/6,462.41,2120.9,0,3312.9,#N/A N/A,113.86,616.29,1311.28,#N/A N/A,320.46,#N/A N/A
1990/9/7,464.02,2123,0,3287.1,#N/A N/A,114.27,613.08,1311.28,#N/A N/A,323.4,#N/A N/A
1990/9/10,469.71,2147,0,3287.7,#N/A N/A,115.67,612.63,1276.24,#N/A N/A,321.63,#N/A N/A
1990/9/11,464.35,2144.3,0,3272.3,#N/A N/A,114.35,613.49,1240.97,#N/A N/A,321.04,#N/A N/A
1990/9/12,472.38,2142.3,0,3271.8,#N/A N/A,116.31,610.88,1219.64,#N/A N/A,322.54,#N/A N/A
1990/9/13,467.85,2127.1,0,3264.4,#N/A N/A,115.2,608.04,1219.64,#N/A N/A,318.65,#N/A N/A
1990/9/14,466.84,2093.8,0,3253.7,#N/A N/A,114.92,603.52,1219.64,#N/A N/A,316.83,#N/A N/A
1990/9/17,463.66,2094.2,0,3262.1,#N/A N/A,114.14,566.27,1302.2,#N/A N/A,317.77,#N/A N/A
1990/9/18,460.01,2064,0,3266.7,#N/A N/A,113.27,589.42,1344.42,#N/A N/A,318.6,#N/A N/A
1990/9/19,454.01,2065.8,0,3275.6,#N/A N/A,111.81,592.8,1344.42,#N/A N/A,316.6,#N/A N/A
1990/9/20,446.52,2016.9,0,3256.4,#N/A N/A,109.97,585.19,1344.42,#N/A N/A,311.48,#N/A N/A
1990/9/21,445.27,2025.4,0,3235.4,#N/A N/A,109.67,584.6,1344.42,#N/A N/A,311.32,#N/A N/A
1990/9/24,442.19,1990.3,0,3227.2,#N/A N/A,108.91,587.39,1238.3,#N/A N/A,304.59,#N/A N/A
1990/9/25,437.4,1999.3,0,3206.1,#N/A N/A,107.73,593.77,1150.3,#N/A N/A,308.26,#N/A N/A
1990/9/26,429.11,2000,0,3181.5,#N/A N/A,105.72,594.04,1150.3,#N/A N/A,305.06,#N/A N/A
1990/9/27,425.22,2009,0,3161.5,#N/A N/A,104.77,593.45,1150.3,#N/A N/A,300.97,#N/A N/A
1990/9/28,423.14,1990.3,0,3159.4,#N/A N/A,104.28,597.67,1150.3,#N/A N/A,306.05,#N/A N/A
1990/10/1,429.85,2030.9,0,3175.7,#N/A N/A,105.86,602.88,1082.46,#N/A N/A,314.94,#N/A N/A
1990/10/2,446.82,2058.5,0,3191.4,#N/A N/A,110.01,602.88,1130.06,#N/A N/A,315.21,#N/A N/A
1990/10/3,445.39,2087,0,3179.6,#N/A N/A,109.71,602.88,1165.74,#N/A N/A,311.4,#N/A N/A
1990/10/4,445.45,2070.5,0,3176,#N/A N/A,109.7,602.88,1163.18,#N/A N/A,312.69,#N/A N/A
1990/10/5,450.21,2144.2,0,3166.9,#N/A N/A,110.86,624.13,1154.44,#N/A N/A,311.5,#N/A N/A
1990/10/8,462.14,2201.6,0,3166.9,#N/A N/A,113.76,614.06,1173.32,#N/A N/A,313.48,#N/A N/A
1990/10/9,455.55,2121.8,0,3139.6,#N/A N/A,112.13,614.06,1168.55,#N/A N/A,305.1,#N/A N/A
1990/10/10,451.54,2102.2,0,3109.9,#N/A N/A,111.12,617.12,1141.69,#N/A N/A,300.39,#N/A N/A
1990/10/11,442.59,2100.4,0,3055.3,#N/A N/A,108.93,621.93,1118.12,#N/A N/A,295.46,#N/A N/A
1990/10/12,448.04,2101.9,0,3048,#N/A N/A,110.25,635.74,1089.32,#N/A N/A,300.03,#N/A N/A
1990/10/15,454.12,2083.6,0,3032.9,#N/A N/A,111.75,646.39,1050.57,#N/A N/A,303.23,#N/A N/A
1990/10/16,454.06,2068,0,3010,#N/A N/A,111.74,638.29,1053.31,#N/A N/A,298.92,#N/A N/A
1990/10/17,458.8,2082.6,0,3023.4,#N/A N/A,112.91,653.96,1026.19,#N/A N/A,298.76,#N/A N/A
1990/10/18,466.37,2089,0,3060.1,#N/A N/A,114.75,666.56,997.89,#N/A N/A,305.74,#N/A N/A
1990/10/19,473.16,2102,0,3086.7,#N/A N/A,116.39,696.01,1023.92,#N/A N/A,312.48,#N/A N/A
1990/10/22,477.95,2127,0,3115.5,#N/A N/A,117.59,733.37,1054.08,#N/A N/A,314.76,#N/A N/A
1990/10/23,476.82,2110.5,0,3123.1,#N/A N/A,117.35,765.55,1078.54,#N/A N/A,312.36,#N/A N/A
