,(DC)FDI: Equity Capital (EC): Total,"(DC)FDI: EC: Crop, Livestock & Mineral Extraction (CM)","(DC)FDI: EC: CM: Crop, Livestock & Related Services",(DC)FDI: EC: CM: Forestry,(DC)FDI: EC: CM: Oil Extraction & Related Services (OE),(DC)FDI: EC: CM: OE: Mineral Extraction,(DC)FDI: EC: CM: OE: Oil & Gas Extraction,(DC)FDI: EC: CM: Metallic Mineral Extraction,(DC)FDI: EC: CM: Nonmetallic Mineral Extraction,(DC)FDI: EC: CM: Others,(DC)FDI: EC: CM: Petroleum Extraction & Related Services,"(DC)FDI: EC: CM: Silviculture, Forest Mgmt & Related Serv",(DC)FDI: EC: CM: Others,(DC)FDI: Equity Capital (EC): Industry,(DC)FDI: EC: Industry: Basic metallurgy,(DC)FDI: EC: Industry: Chemical Industry,"(DC)FDI: EC: Industry: Coke, Oil Derivatives & Biofuels","(DC)FDI: EC: Industry: Computer Eqpt, Electronic & Optical Pdts","(DC)FDI: EC: Industry: Electrical Machines, Devices & Apparatuses",(DC)FDI: EC: Industry: Foodstuff and Beverages,(DC)FDI: EC: Industry: F&B: Foodstuff,(DC)FDI: EC: Industry: F&B: Beverages,(DC)FDI: EC: Industry: Machinery & Eqpts Industry,(DC)FDI: EC: Industry: Maintenance & Repair of Computer Eqpt,(DC)FDI: EC: Industry: Mfg & Assembly of Automotive Engine,(DC)FDI: EC: Industry: Metal Products,(DC)FDI: EC: Industry: Nonmetallic Mineral Products,(DC)FDI: EC: Industry: Other Industries,(DC)FDI: EC: Industry: Other Transportation Eqpts Industry,(DC)FDI: EC: Industry: Pharmaceuticals,(DC)FDI: EC: Industry: Plastic & Rubber Products,(DC)FDI: EC: Industry: Publishing & Printing,"(DC)FDI: EC: Industry: Pulp, Paper & Paper Products",(DC)FDI: EC: Industry: Sundry,(DC)FDI: EC: Industry: Textile Products,(DC)FDI: EC: Industry: Tobacco Products,(DC)FDI: EC: Industry: Wood Products,(DC)FDI: EC: Industry: Chemical Products,(DC)FDI: EC: Industry: Coke & Oil Refining,"(DC)FDI: EC: Industry: Edition, Printing & Recording","(DC)FDI: EC: Industry: Elect Machines, Devices & Apparatus",(DC)FDI: EC: Industry: Electronic Devices & Comm Equip,(DC)FDI: EC: Industry: Machinery & Equipments,(DC)FDI: EC: Industry: Mfg of Medical & Optical Equip,(DC)FDI: EC: Industry: Office Machines & Computing Equip,(DC)FDI: EC: Industry: Other Transportation Equipments,(DC)FDI: EC: Industry: Other Industries,(DC)FDI: Equity Capital (EC): Services,(DC)FDI: EC: Services: Advertising & Market Research,(DC)FDI: EC: Services: Architectural & Engineering Services,(DC)FDI: EC: Services: Buildings,(DC)FDI: EC: Services: Commerce,(DC)FDI: EC: Services: Commerce: Incl Maintenance of Vehicle,(DC)FDI: EC: Services: Commerce: Excl Maintenance of Vehicle,(DC)FDI: EC: Services: Electricity & Gas,(DC)FDI: EC: Services: Financial & Auxiliary Services,(DC)FDI: EC: Services: Lodging & Food,(DC)FDI: EC: Services: L&F: Food Industry Service,(DC)FDI: EC: Services: L&F: Lodging,(DC)FDI: EC: Services: HQ Consulting & Mgt Activities,(DC)FDI: EC: Services: Information Technology Services,(DC)FDI: EC: Services: Infrastructure works,(DC)FDI: EC: Services: Insurance & Pension Funds,(DC)FDI: EC: Services: Non Real Estate Lease & Intangible Assets,(DC)FDI: EC: Services: Nonfinancial Holdings,(DC)FDI: EC: Services: Office Svcs & Other Svcs Rendered to Corp,(DC)FDI: EC: Services: Other Services,(DC)FDI: EC: Services: Real Estate Services,(DC)FDI: EC: Services: Storage & Transpo Auxiliary Activities,(DC)FDI: EC: Services: Telecommunication,(DC)FDI: EC: Services: Transportation Services,(DC)FDI: EC: Services: Travel Agencies & Tourist Operators,(DC)FDI: EC: Services: Water Services,(DC)FDI: EC: Services: Computing & Related Activities,(DC)FDI: EC: Services: Construction,(DC)FDI: EC: Services: Education,"(DC)FDI: EC: Services: Electricity, Gas & Hot Water",(DC)FDI: EC: Services: Financial Intermediation,(DC)FDI: EC: Services: Real Estate,"(DC)FDI: EC: Services: Recreational, Cultural & Sport Activity",(DC)FDI: EC: Services: Services Rendered to Corporations,(DC)FDI: EC: Services: Transportation,"(DC)FDI: EC: Serv: Vehicle, Machinery & Equip Rent",(DC)FDI: EC: Services: Others,(DC)FDI: ytd: Equity Capital (EC)): Total,"(DC)FDI: ytd: EC: Crop, Livestock & Mineral Extraction (CM)","(DC)FDI: ytd: EC: CM: Crop, Livestock & Related Services",(DC)FDI: ytd: EC: CM: Forestry,(DC)FDI: ytd: EC: CM: Oil Extraction & Related Services (OE),(DC)FDI: ytd: EC: CM: OE: Mineral Extraction,(DC)FDI: ytd: EC: CM: OE: Oil & Gas Extraction,(DC)FDI: ytd: EC: CM: Metallic Mineral Extraction,(DC)FDI: ytd: EC: CM: Nonmetallic Mineral Extraction,(DC)FDI: ytd: EC: CM: Others,"(DC)FDI: ytd: EC: CM: Silviculture, Forest Mgmt","(DC)FDI: ytd: EC: CM: Petroleum Extraction, Rel Serv",(DC)FDI: ytd: EC: CM: Others,(DC)FDI: ytd: Equity Capital (EC): Industry,(DC)FDI: ytd: EC: Industry: Basic metallurgy,(DC)FDI: ytd: EC: Industry: Chemical Industry,"(DC)FDI: ytd: EC: Industry: Coke, Oil Derivatives & Biofuels","(DC)FDI: ytd: EC: Industry: Computer Eqpt, Electronic & Optical Pdts","(DC)FDI: ytd: EC: Industry: Electrical Machines, Devices & Apparatus",(DC)FDI: ytd: EC: Industry: Foodstuff and Beverages,(DC)FDI: ytd: EC: Industry: F&B: Foodstuff,(DC)FDI: ytd: EC: Industry: F&B: Beverages,(DC)FDI: ytd: EC: Industry: Machinery & Eqpts Industry,(DC)FDI: ytd: EC: Industry: Maintenance & Repair of Computer,(DC)FDI: ytd: EC: Industry: Mfg & Assembly of Auto Engine,(DC)FDI: ytd: EC: Industry: Metal Products,(DC)FDI: ytd: EC: Industry: Nonmetallic Mineral Products,(DC)FDI: ytd: EC: Industry: Other Industries,(DC)FDI: ytd: EC: Industry: Other Transportation Eqpts Indus,(DC)FDI: ytd: EC: Industry: Pharmaceuticals,(DC)FDI: ytd: EC: Industry: Plastic & Rubber Products,(DC)FDI: ytd: EC: Industry: Publishing & Printing,"(DC)FDI: ytd: EC: Industry: Pulp, Paper & Paper Products",(DC)FDI: ytd: EC: Industry: Sundry,(DC)FDI: ytd: EC: Industry: Textile Products,(DC)FDI: ytd: EC: Industry: Tobacco Products,(DC)FDI: ytd: EC: Industry: Wood Products,(DC)FDI: ytd: EC: Industry: Coke & Oil Refining,(DC)FDI: ytd: EC: Industry: Mfg of Medical & Optical Equip,(DC)FDI: ytd: EC: Industry: Chemical Products,(DC)FDI: ytd: EC: Industry: Machinery & Equipments,"(DC)FDI: ytd: EC: Industry: Eletrical Machines, Devices & Apparatus",(DC)FDI: ytd: EC: Industry: Electronic Devices & Comm Equip,(DC)FDI: ytd: EC: Industry: Office Machines & Computing Equip,"(DC)FDI: ytd: EC: Industry: Edition, Printing & Recording",(DC)FDI: ytd: EC: Industry: Other Industries,(DC)FDI: ytd: EC: Industry: Other Transportation Equip,(DC)FDI: ytd: Equity Capital (EC): Services,(DC)FDI: ytd: EC: Services: Advertising & Market Research,(DC)FDI: ytd: EC: Services: Architectural & Engineering Serv,(DC)FDI: ytd: EC: Services: Buildings,(DC)FDI: ytd: EC: Service: Commerce,(DC)FDI: ytd: EC: Services: Commerce: Incl Maintenance of Veh,(DC)FDI: ytd: EC: Services: Commerce: Excl Maintenance of Veh,(DC)FDI: ytd: EC: Services: Electricity & Gas,(DC)FDI: ytd: EC: Services: Financial & Auxiliary Services,(DC)FDI: ytd: EC: Services: Lodging & Food,(DC)FDI: ytd: EC: Services: L&F: Food Industry Service,(DC)FDI: ytd: EC: Services: L&F: Lodging,(DC)FDI: ytd: EC: Services: HQ Consulting & Mgt Activities,(DC)FDI: ytd: EC: Services: Information Technology Services,(DC)FDI: ytd: EC: Services: Infrastructure Works,(DC)FDI: ytd: EC: Service: Insurance & Pension Funds,(DC)FDI: ytd: EC: Services: Non Real Estate Lease & Intangib,(DC)FDI: ytd: EC: Services: Nonfinancial Holdings,(DC)FDI: ytd: EC: Services: Office Svcs & Other Svcs Rendere,(DC)FDI: ytd: EC: Services: Other Services,(DC)FDI: ytd: EC: Services: Real Estate Services,(DC)FDI: ytd: EC: Services: Storage & Transport Auxiliary Activities,(DC)FDI: ytd: EC: Services: Telecommunication,(DC)FDI: ytd: EC: Services: Transportation Services,(DC)FDI: ytd: EC: Services: Travel Agencies & Tourist Operat,(DC)FDI: ytd: EC: Services: Water Service,"(DC)FDI: ytd: EC: Services: Vehicle, Machinery & Equip Rent","(DC)FDI: ytd: EC: Services: Electricity, Gas & Hot Water",(DC)FDI: ytd: EC: Services: Financial Intermediation,(DC)FDI: ytd: EC: Services: Service Rendered to Corporation,(DC)FDI: ytd: EC: Services: Computing & Related Activities,(DC)FDI: ytd: EC: Services: Real Estate,(DC)FDI: ytd: EC: Services: Construction,(DC)FDI: ytd: EC: Services: Transportation,(DC)FDI: ytd: EC: Services: Others,"(DC)FDI: ytd: EC: Services: Recreational, Cultural & Sport",(DC)FDI: ytd: EC: Services: Education
Region,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil
Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,98604301 (BROAE),98604401 (BROAEAA),98604701 (BROAEAAC),234314903 (BROAEAAF),234315003 (BROAEAAG),234315103 (BROAEAAGA),234315203 (BROAEAAGB),98604601 (BROAEAAB),234315303 (BROAEAAH),234315403 (BROAEAAI),98604501 (BROAEAAA),142564701 (BROAEAAE),98604801 (BROAEAAD),98604901 (BROAEAB),98605201 (BROAEABC),234315503 (BROAEABU),234315603 (BROAEABV),234315703 (BROAEABW),234315803 (BROAEABX),98605801 (BROAEABI),234315903 (BROAEABIA),234316003 (BROAEABIB),234316103 (BROAEABY),234316203 (BROAEABZ),98606501 (BROAEABP),98605401 (BROAEABE),98606301 (BROAEABN),234316303 (BROAEABAA),234316403 (BROAEABAB),234316503 (BROAEABAC),98606001 (BROAEABK),234316603 (BROAEABAD),98605301 (BROAEABD),234316703 (BROAEABAE),98605001 (BROAEABA),142565001 (BROAEABS),98606401 (BROAEABO),98605501 (BROAEABF),142564801 (BROAEABR),98606201 (BROAEABM),98605701 (BROAEABH),98605901 (BROAEABJ),98605101 (BROAEABB),142564901 (BROAEABT),98606101 (BROAEABL),98605601 (BROAEABG),98606601 (BROAEABQ),98606701 (BROAEAC),234316803 (BROAEACQ),234316903 (BROAEACR),234317003 (BROAEACS),98606801 (BROAEACA),234317103 (BROAEACT),234317203 (BROAEACU),234317303 (BROAEACV),234317403 (BROAEACW),98607501 (BROAEACH),234317503 (BROAEACHA),234317603 (BROAEACHB),234317703 (BROAEACX),234317803 (BROAEACY),234317903 (BROAEACZ),98607901 (BROAEACL),234318003 (BROAEACAA),234318103 (BROAEACAB),234318203 (BROAEACAC),234318303 (BROAEACAD),234318403 (BROAEACAE),234318503 (BROAEACAF),98607001 (BROAEACC),234318603 (BROAEACAG),234318703 (BROAEACAH),98608101 (BROAEACN),98607401 (BROAEACG),98607601 (BROAEACI),98608001 (BROAEACM),98607701 (BROAEACJ),98607301 (BROAEACF),98607101 (BROAEACD),98607801 (BROAEACK),98606901 (BROAEACB),98607201 (BROAEACE),142565101 (BROAEACP),98608201 (BROAEACO),1653601 (BROA),1653701 (BROAA),1286701 (BROAAD),234318803 (BROAAF),234318903 (BROAAG),234319003 (BROAAGA),234319103 (BROAAGB),1654001 (BROAAC),234319203 (BROAAH),234319303 (BROAAI),142565201 (BROAAE),1653801 (BROAAA),1653901 (BROAAB),1654101 (BROAB),1654701 (BROABF),234319403 (BROABU),234319503 (BROABV),234319603 (BROABW),234319703 (BROABX),1654201 (BROABA),234319803 (BROABAA),234319903 (BROABAB),234320003 (BROABY),234320103 (BROABZ),1654301 (BROABB),1655201 (BROABK),1654901 (BROABH),234320203 (BROABBA),234320303 (BROABBB),234320403 (BROABBC),1654801 (BROABG),234320503 (BROABBD),1655601 (BROABO),234320603 (BROABBE),1655001 (BROABI),142565501 (BROABS),1655501 (BROABN),142565301 (BROABR),142565401 (BROABT),1654401 (BROABC),1654501 (BROABD),1654601 (BROABE),1655101 (BROABJ),1655301 (BROABL),1655401 (BROABM),1655701 (BROABP),1655801 (BROABQ),1655901 (BROAC),234320703 (BROACQ),234320803 (BROACR),234320903 (BROACS),1656201 (BROACC),234321003 (BROACT),234321103 (BROACU),234321203 (BROACV),234321303 (BROACW),1657101 (BROACL),234321403 (BROACLA),234321503 (BROACLB),234321603 (BROACX),234321703 (BROACY),234321803 (BROACZ),1656501 (BROACF),234321903 (BROACAA),234322003 (BROACAB),234322103 (BROACAC),234322203 (BROACAD),234322303 (BROACAE),234322403 (BROACAF),1656001 (BROACA),234322503 (BROACAG),234322603 (BROACAH),1657001 (BROACK),142565601 (BROACP),1656101 (BROACB),1656301 (BROACD),1656401 (BROACE),1656601 (BROACG),1656701 (BROACH),1656801 (BROACI),1656901 (BROACJ),1657201 (BROACM),69829101 (BROACN),81974301 (BROACO)
SR Code,SR1441940,SR1441018,SR1440998,SR3214584,SR3214554,SR3214473,SR3214608,SR1441871,SR3214487,SR3214624,SR1441043,SR3214613,SR1440898,SR1441222,SR1441793,SR3214626,SR3214531,SR3214590,SR3214628,SR1441325,SR3214627,SR3214615,SR3214568,SR3214552,SR1441823,SR1441499,SR1440948,SR3214635,SR3214470,SR3214548,SR1441050,SR3214606,SR1440970,SR3214532,SR1441619,SR3214593,SR1441786,SR1441074,SR3214499,SR1441915,SR1441296,SR1441323,SR1441415,SR3214581,SR1441646,SR1441488,SR1441715,SR1442036,SR3214483,SR3214465,SR3214521,SR1441974,SR3214588,SR3214556,SR3214589,SR3214562,SR1441814,SR3214502,SR3214475,SR3214619,SR3214602,SR3214605,SR1441391,SR3214591,SR3214560,SR3214510,SR3214471,SR3214519,SR3214574,SR1442033,SR3214486,SR3214551,SR1441082,SR1441627,SR1440915,SR1441259,SR1441916,SR1441189,SR1440910,SR1441957,SR1440932,SR1441423,SR3214513,SR1442028,SR432171,SR432172,SR1442003,SR3214488,SR3214495,SR3214543,SR3214476,SR3214559,SR3214466,SR3214539,SR3214546,SR432173,SR432174,SR432176,SR432182,SR3214478,SR3214461,SR3214527,SR3214462,SR432177,SR3214629,SR3214636,SR3214612,SR3214526,SR432178,SR432187,SR432184,SR3214611,SR3214618,SR3214534,SR432183,SR3214622,SR432191,SR3214594,SR432185,SR3214472,SR432190,SR3214572,SR3214458,SR432179,SR432180,SR432181,SR432186,SR432188,SR432189,SR432192,SR1441207,SR432194,SR3214565,SR3214601,SR3214541,SR432197,SR3214570,SR3214616,SR3214563,SR3214585,SR432206,SR3214538,SR3214579,SR3214503,SR3214480,SR3214595,SR432200,SR3214553,SR3214558,SR3214634,SR3214625,SR3214580,SR3214631,SR432195,SR3214508,SR3214621,SR432205,SR3214504,SR432196,SR432198,SR432199,SR432201,SR432202,SR432203,SR432204,SR432207,SR1441792,SR1441136
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
