DATE,USUKFXUKQ
1791-01-01,4.53
1791-04-01,4.52
1791-07-01,4.59
1791-10-01,4.54
1792-01-01,4.48
1792-04-01,4.42
1792-07-01,4.50
1792-10-01,4.45
1793-01-01,4.36
1793-04-01,4.45
1793-07-01,4.60
1793-10-01,4.62
1794-01-01,4.68
1794-04-01,4.68
1794-07-01,4.81
1794-10-01,4.81
1795-01-01,4.59
1795-04-01,4.56
1795-07-01,4.53
1795-10-01,4.42
1796-01-01,4.07
1796-04-01,4.29
1796-07-01,4.36
1796-10-01,4.42
1797-01-01,4.45
1797-04-01,4.42
1797-07-01,4.41
1797-10-01,4.45
1798-01-01,4.45
1798-04-01,4.45
1798-07-01,4.36
1798-10-01,4.28
1799-01-01,4.39
1799-04-01,4.01
1799-07-01,4.01
1799-10-01,4.11
1800-01-01,4.45
1800-04-01,4.57
1800-07-01,4.57
1800-10-01,4.59
1801-01-01,4.36
1801-04-01,4.33
1801-07-01,4.36
1801-10-01,4.45
1802-01-01,4.41
1802-04-01,4.45
1802-07-01,4.56
1802-10-01,4.51
1803-01-01,4.47
1803-04-01,4.51
1803-07-01,4.60
1803-10-01,4.57
1804-01-01,4.57
1804-04-01,4.58
1804-07-01,4.55
1804-10-01,4.50
1805-01-01,4.41
1805-04-01,4.33
1805-07-01,4.27
1805-10-01,4.38
1806-01-01,4.39
1806-04-01,4.42
1806-07-01,4.45
1806-10-01,4.45
1807-01-01,4.41
1807-04-01,4.38
1807-07-01,4.45
1807-10-01,4.45
1808-01-01,4.45
1808-04-01,4.63
1808-07-01,4.68
1808-10-01,4.74
1809-01-01,4.75
1809-04-01,4.47
1809-07-01,4.53
1809-10-01,4.53
1810-01-01,4.32
1810-04-01,4.28
1810-07-01,4.33
1810-10-01,4.26
1811-01-01,4.01
1811-04-01,3.87
1811-07-01,3.71
1811-10-01,3.67
1812-01-01,3.67
1812-04-01,3.55
1812-07-01,3.56
1812-10-01,3.68
1813-01-01,3.68
1813-04-01,3.74
1813-07-01,3.73
1813-10-01,3.84
1814-01-01,4.05
1814-04-01,4.29
1814-07-01,4.10
1814-10-01,4.51
1815-01-01,4.54
1815-04-01,4.75
1815-07-01,5.03
1815-10-01,5.28
1816-01-01,5.20
1816-04-01,5.37
1816-07-01,5.25
1816-10-01,5.06
1817-01-01,4.68
1817-04-01,4.58
1817-07-01,4.56
1817-10-01,4.59
1818-01-01,4.57
1818-04-01,4.49
1818-07-01,4.48
1818-10-01,4.45
1819-01-01,4.44
1819-04-01,4.53
1819-07-01,4.51
1819-10-01,4.57
1820-01-01,4.49
1820-04-01,4.45
1820-07-01,4.56
1820-10-01,4.58
1821-01-01,4.65
1821-04-01,4.84
1821-07-01,4.86
1821-10-01,4.93
1822-01-01,5.03
1822-04-01,4.95
1822-07-01,4.91
1822-10-01,5.01
1823-01-01,4.93
1823-04-01,4.70
1823-07-01,4.77
1823-10-01,4.79
1824-01-01,4.84
1824-04-01,4.87
1824-07-01,4.87
1824-10-01,4.89
1825-01-01,4.89
1825-04-01,4.78
1825-07-01,4.75
1825-10-01,4.89
1826-01-01,4.84
1826-04-01,4.89
1826-07-01,4.95
1826-10-01,4.99
1827-01-01,4.94
1827-04-01,4.93
1827-07-01,4.92
1827-10-01,4.95
1828-01-01,4.93
1828-04-01,4.94
1828-07-01,4.92
1828-10-01,4.92
1829-01-01,4.85
1829-04-01,4.85
1829-07-01,4.87
1829-10-01,4.89
1830-01-01,4.84
1830-04-01,4.78
1830-07-01,4.72
1830-10-01,4.75
1831-01-01,4.75
1831-04-01,4.82
1831-07-01,4.91
1831-10-01,4.92
1832-01-01,4.89
1832-04-01,4.89
1832-07-01,4.82
1832-10-01,4.82
1833-01-01,4.81
1833-04-01,4.81
1833-07-01,4.82
1833-10-01,4.75
1834-01-01,4.44
1834-04-01,4.55
1834-07-01,4.67
1834-10-01,4.77
1835-01-01,4.78
1835-04-01,4.86
1835-07-01,4.88
1835-10-01,4.89
1836-01-01,4.87
1836-04-01,4.78
1836-07-01,4.80
1836-10-01,4.86
1837-01-01,4.86
1837-04-01,5.00
1837-07-01,5.34
1837-10-01,5.11
1838-01-01,4.85
1838-04-01,4.74
1838-07-01,4.82
1838-10-01,4.89
1839-01-01,4.87
1839-04-01,4.88
1839-07-01,4.89
1839-10-01,4.90
1840-01-01,4.84
1840-04-01,4.81
1840-07-01,4.78
1840-10-01,4.86
1841-01-01,4.84
1841-04-01,4.81
1841-07-01,4.85
1841-10-01,4.90
1842-01-01,4.84
1842-04-01,4.78
1842-07-01,4.77
