"Figure 6: Unemployment rates have levelled off over the last year, following a period of decreasing rates",""
"UK unemployment rates (aged 16 years and over), seasonally adjusted, between January to March 1971 and March to May 2020",""
"",""
"Notes",""
"Unit","Percentage of economically active"
"",""
"Period","People","Men","Women"
"Jan-Mar 1971","3.800","3.200","4.900"
"Feb-Apr 1971","3.900","3.300","5.000"
"Mar-May 1971","4.000","3.400","5.000"
"Apr-Jun 1971","4.100","3.500","5.000"
"May-Jul 1971","4.100","3.600","5.000"
"Jun-Aug 1971","4.200","3.700","5.000"
"Jul-Sep 1971","4.200","3.700","5.100"
"Aug-Oct 1971","4.300","3.800","5.100"
"Sep-Nov 1971","4.400","3.900","5.100"
"Oct-Dec 1971","4.400","4.000","5.200"
"Nov-Jan 1972","4.500","4.100","5.200"
"Dec-Feb 1972","4.500","4.100","5.200"
"Jan-Mar 1972","4.500","4.100","5.200"
"Feb-Apr 1972","4.500","4.100","5.200"
"Mar-May 1972","4.500","4.100","5.200"
"Apr-Jun 1972","4.400","4.000","5.200"
"May-Jul 1972","4.400","3.900","5.200"
"Jun-Aug 1972","4.300","3.800","5.100"
"Jul-Sep 1972","4.300","3.800","5.100"
"Aug-Oct 1972","4.200","3.700","5.100"
"Sep-Nov 1972","4.200","3.700","5.100"
"Oct-Dec 1972","4.200","3.600","5.100"
"Nov-Jan 1973","4.100","3.500","5.000"
"Dec-Feb 1973","4.000","3.300","5.000"
"Jan-Mar 1973","3.900","3.200","4.900"
"Feb-Apr 1973","3.800","3.100","4.900"
"Mar-May 1973","3.800","3.100","4.900"
"Apr-Jun 1973","3.700","3.000","4.900"
"May-Jul 1973","3.700","3.000","4.800"
"Jun-Aug 1973","3.600","2.900","4.800"
"Jul-Sep 1973","3.600","2.900","4.800"
"Aug-Oct 1973","3.500","2.800","4.700"
"Sep-Nov 1973","3.500","2.700","4.700"
"Oct-Dec 1973","3.400","2.700","4.700"
"Nov-Jan 1974","3.400","2.700","4.700"
"Dec-Feb 1974","3.500","2.800","4.700"
"Jan-Mar 1974","3.600","2.900","4.700"
"Feb-Apr 1974","3.600","2.900","4.700"
"Mar-May 1974","3.600","2.900","4.700"
"Apr-Jun 1974","3.600","2.900","4.700"
"May-Jul 1974","3.600","2.900","4.700"
"Jun-Aug 1974","3.700","3.000","4.700"
"Jul-Sep 1974","3.700","3.000","4.700"
"Aug-Oct 1974","3.700","3.100","4.700"
"Sep-Nov 1974","3.700","3.100","4.700"
"Oct-Dec 1974","3.700","3.100","4.700"
"Nov-Jan 1975","3.800","3.200","4.700"
"Dec-Feb 1975","3.900","3.300","4.800"
"Jan-Mar 1975","4.000","3.400","4.800"
"Feb-Apr 1975","4.100","3.500","4.900"
"Mar-May 1975","4.200","3.700","5.000"
"Apr-Jun 1975","4.300","3.900","5.000"
"May-Jul 1975","4.500","4.000","5.100"
"Jun-Aug 1975","4.600","4.200","5.200"
"Jul-Sep 1975","4.700","4.300","5.200"
"Aug-Oct 1975","4.800","4.500","5.300"
"Sep-Nov 1975","4.900","4.600","5.400"
"Oct-Dec 1975","5.000","4.800","5.500"
"Nov-Jan 1976","5.100","4.900","5.500"
"Dec-Feb 1976","5.200","4.900","5.600"
"Jan-Mar 1976","5.300","5.000","5.700"
"Feb-Apr 1976","5.300","5.100","5.700"
"Mar-May 1976","5.400","5.100","5.800"
"Apr-Jun 1976","5.400","5.100","5.800"
"May-Jul 1976","5.400","5.200","5.800"
"Jun-Aug 1976","5.400","5.200","5.900"
"Jul-Sep 1976","5.500","5.200","5.900"
"Aug-Oct 1976","5.500","5.200","6.000"
"Sep-Nov 1976","5.500","5.100","6.000"
"Oct-Dec 1976","5.500","5.100","6.000"
"Nov-Jan 1977","5.500","5.100","6.000"
"Dec-Feb 1977","5.500","5.100","6.000"
"Jan-Mar 1977","5.500","5.100","6.000"
"Feb-Apr 1977","5.500","5.100","6.000"
"Mar-May 1977","5.500","5.100","6.100"
"Apr-Jun 1977","5.500","5.200","6.100"
"May-Jul 1977","5.600","5.200","6.100"
"Jun-Aug 1977","5.600","5.300","6.200"
"Jul-Sep 1977","5.700","5.300","6.200"
"Aug-Oct 1977","5.700","5.300","6.300"
"Sep-Nov 1977","5.700","5.300","6.300"
"Oct-Dec 1977","5.700","5.300","6.300"
"Nov-Jan 1978","5.700","5.300","6.300"
"Dec-Feb 1978","5.600","5.200","6.200"
"Jan-Mar 1978","5.600","5.200","6.200"
"Feb-Apr 1978","5.600","5.200","6.200"
"Mar-May 1978","5.600","5.100","6.200"
"Apr-Jun 1978","5.600","5.100","6.200"
"May-Jul 1978","5.500","5.100","6.200"
"Jun-Aug 1978","5.500","5.100","6.200"
"Jul-Sep 1978","5.500","5.000","6.200"
"Aug-Oct 1978","5.500","5.000","6.200"
"Sep-Nov 1978","5.400","4.900","6.200"
"Oct-Dec 1978","5.400","4.900","6.100"
"Nov-Jan 1979","5.300","4.800","6.100"
"Dec-Feb 1979","5.300","4.800","6.100"
"Jan-Mar 1979","5.400","4.800","6.100"
"Feb-Apr 1979","5.300","4.800","6.100"
"Mar-May 1979","5.300","4.700","6.100"
"Apr-Jun 1979","5.300","4.700","6.100"
"May-Jul 1979","5.300","4.800","6.200"
"Jun-Aug 1979","5.300","4.800","6.200"
"Jul-Sep 1979","5.400","4.800","6.200"
"Aug-Oct 1979","5.400","4.900","6.200"
"Sep-Nov 1979","5.400","4.900","6.200"
"Oct-Dec 1979","5.500","5.000","6.300"
"Nov-Jan 1980","5.600","5.100","6.300"
"Dec-Feb 1980","5.700","5.200","6.400"
"Jan-Mar 1980","5.800","5.300","6.500"
"Feb-Apr 1980","6.000","5.500","6.600"
"Mar-May 1980","6.100","5.700","6.700"
"Apr-Jun 1980","6.300","6.000","6.800"
"May-Jul 1980","6.500","6.200","7.000"
"Jun-Aug 1980","6.800","6.600","7.100"
"Jul-Sep 1980","7.100","6.900","7.300"
"Aug-Oct 1980","7.400","7.300","7.500"
"Sep-Nov 1980","7.700","7.700","7.600"
"Oct-Dec 1980","8.000","8.200","7.800"
"Nov-Jan 1981","8.300","8.600","8.000"
"Dec-Feb 1981","8.600","8.900","8.200"
"Jan-Mar 1981","8.900","9.200","8.300"
"Feb-Apr 1981","9.100","9.600","8.500"
"Mar-May 1981","9.400","9.900","8.600"
"Apr-Jun 1981","9.600","10.100","8.700"
"May-Jul 1981","9.700","10.300","8.800"
"Jun-Aug 1981","9.800","10.400","8.900"
"Jul-Sep 1981","9.900","10.600","9.000"
"Aug-Oct 1981","10.000","10.700","9.000"
"Sep-Nov 1981","10.100","10.800","9.100"
"Oct-Dec 1981","10.200","10.900","9.200"
"Nov-Jan 1982","10.300","11.000","9.200"
"Dec-Feb 1982","10.400","11.100","9.300"
"Jan-Mar 1982","10.400","11.200","9.300"
"Feb-Apr 1982","10.500","11.200","9.300"
"Mar-May 1982","10.500","11.300","9.400"
"Apr-Jun 1982","10.600","11.400","9.400"
"May-Jul 1982","10.600","11.400","9.500"
"Jun-Aug 1982","10.700","11.500","9.500"
"Jul-Sep 1982","10.800","11.600","9.600"
"Aug-Oct 1982","10.900","11.700","9.700"
"Sep-Nov 1982","11.000","11.800","9.700"
"Oct-Dec 1982","11.100","11.900","9.800"
"Nov-Jan 1983","11.200","12.000","9.900"
"Dec-Feb 1983","11.200","12.100","9.900"
"Jan-Mar 1983","11.300","12.100","10.000"
"Feb-Apr 1983","11.300","12.100","10.000"
"Mar-May 1983","11.300","12.200","10.100"
"Apr-Jun 1983","11.400","12.200","10.300"
"May-Jul 1983","11.500","12.200","10.400"
"Jun-Aug 1983","11.500","12.200","10.500"
"Jul-Sep 1983","11.500","12.200","10.700"
"Aug-Oct 1983","11.600","12.100","10.800"
"Sep-Nov 1983","11.600","12.100","10.900"
"Oct-Dec 1983","11.700","12.100","11.100"
"Nov-Jan 1984","11.700","12.000","11.300"
"Dec-Feb 1984","11.800","12.000","11.400"
"Jan-Mar 1984","11.800","12.000","11.600"
"Feb-Apr 1984","11.900","12.000","11.700"
"Mar-May 1984","11.900","12.000","11.800"
"Apr-Jun 1984","11.900","11.900","11.800"
"May-Jul 1984","11.800","11.900","11.700"
"Jun-Aug 1984","11.800","11.900","11.600"
"Jul-Sep 1984","11.700","11.900","11.600"
"Aug-Oct 1984","11.700","11.900","11.500"
"Sep-Nov 1984","11.700","11.900","11.500"
"Oct-Dec 1984","11.600","11.800","11.400"
"Nov-Jan 1985","11.600","11.800","11.300"
"Dec-Feb 1985","11.500","11.800","11.200"
