"Figure 1: The employment rate for all people increased by 0.3 percentage points on the year to 76.4%, but was down 0.2 percentage points on the quarter",""
"UK employment rates (aged 16 to 64 years), seasonally adjusted, between January to March 1971 and March to May 2020",""
"",""
"Notes",""
"Unit","%"
"",""
"Period","People","Men","Women"
"Jan-Mar 1971","72.200","92.100","52.800"
"Feb-Apr 1971","72.100","91.900","52.700"
"Mar-May 1971","72.000","91.800","52.700"
"Apr-Jun 1971","72.000","91.700","52.700"
"May-Jul 1971","71.900","91.600","52.700"
"Jun-Aug 1971","71.800","91.400","52.700"
"Jul-Sep 1971","71.700","91.200","52.700"
"Aug-Oct 1971","71.600","91.000","52.600"
"Sep-Nov 1971","71.500","90.800","52.600"
"Oct-Dec 1971","71.500","90.800","52.600"
"Nov-Jan 1972","71.500","90.800","52.700"
"Dec-Feb 1972","71.600","90.900","52.800"
"Jan-Mar 1972","71.800","91.000","52.900"
"Feb-Apr 1972","71.900","91.100","53.000"
"Mar-May 1972","71.900","91.100","53.100"
"Apr-Jun 1972","71.900","91.100","53.100"
"May-Jul 1972","71.900","91.000","53.200"
"Jun-Aug 1972","71.900","91.000","53.200"
"Jul-Sep 1972","72.000","91.000","53.300"
"Aug-Oct 1972","72.000","91.100","53.400"
"Sep-Nov 1972","72.100","91.200","53.500"
"Oct-Dec 1972","72.200","91.200","53.600"
"Nov-Jan 1973","72.400","91.400","53.800"
"Dec-Feb 1973","72.600","91.600","54.000"
"Jan-Mar 1973","72.800","91.800","54.200"
"Feb-Apr 1973","72.900","91.900","54.300"
"Mar-May 1973","73.000","91.900","54.500"
"Apr-Jun 1973","73.000","91.900","54.500"
"May-Jul 1973","72.900","91.700","54.500"
"Jun-Aug 1973","72.900","91.600","54.600"
"Jul-Sep 1973","72.900","91.600","54.700"
"Aug-Oct 1973","72.900","91.500","54.800"
"Sep-Nov 1973","73.000","91.500","54.900"
"Oct-Dec 1973","73.000","91.400","54.900"
"Nov-Jan 1974","73.000","91.300","55.000"
"Dec-Feb 1974","73.000","91.200","55.100"
"Jan-Mar 1974","72.900","91.100","55.100"
"Feb-Apr 1974","72.900","91.000","55.200"
"Mar-May 1974","72.900","90.900","55.200"
"Apr-Jun 1974","73.000","90.900","55.300"
"May-Jul 1974","73.000","90.900","55.400"
"Jun-Aug 1974","73.100","91.000","55.500"
"Jul-Sep 1974","73.100","90.900","55.600"
"Aug-Oct 1974","73.100","90.900","55.700"
"Sep-Nov 1974","73.100","90.800","55.700"
"Oct-Dec 1974","73.100","90.800","55.700"
"Nov-Jan 1975","73.000","90.600","55.700"
"Dec-Feb 1975","72.900","90.500","55.700"
"Jan-Mar 1975","72.900","90.400","55.600"
"Feb-Apr 1975","72.800","90.200","55.600"
"Mar-May 1975","72.700","90.100","55.600"
"Apr-Jun 1975","72.700","90.100","55.600"
"May-Jul 1975","72.700","90.000","55.600"
"Jun-Aug 1975","72.600","89.900","55.600"
"Jul-Sep 1975","72.600","89.800","55.600"
"Aug-Oct 1975","72.500","89.700","55.500"
"Sep-Nov 1975","72.400","89.600","55.500"
"Oct-Dec 1975","72.300","89.500","55.500"
"Nov-Jan 1976","72.300","89.300","55.400"
"Dec-Feb 1976","72.200","89.200","55.400"
"Jan-Mar 1976","72.100","89.100","55.400"
"Feb-Apr 1976","72.000","89.000","55.300"
"Mar-May 1976","72.000","88.900","55.300"
"Apr-Jun 1976","72.000","88.800","55.300"
"May-Jul 1976","71.900","88.800","55.300"
"Jun-Aug 1976","71.900","88.700","55.300"
"Jul-Sep 1976","71.900","88.600","55.300"
"Aug-Oct 1976","71.800","88.600","55.300"
"Sep-Nov 1976","71.800","88.500","55.300"
"Oct-Dec 1976","71.800","88.500","55.300"
"Nov-Jan 1977","71.800","88.500","55.300"
"Dec-Feb 1977","71.800","88.400","55.400"
"Jan-Mar 1977","71.800","88.300","55.400"
"Feb-Apr 1977","71.700","88.300","55.400"
"Mar-May 1977","71.700","88.200","55.400"
"Apr-Jun 1977","71.600","88.100","55.400"
"May-Jul 1977","71.600","88.000","55.400"
"Jun-Aug 1977","71.600","88.000","55.400"
