,fx,quarter,year
0,4.53,1,1791
1,4.52,2,1791
2,4.59,3,1791
3,4.54,4,1791
4,4.48,1,1792
5,4.42,2,1792
6,4.5,3,1792
7,4.45,4,1792
8,4.36,1,1793
9,4.45,2,1793
10,4.6,3,1793
11,4.62,4,1793
12,4.68,1,1794
13,4.68,2,1794
14,4.81,3,1794
15,4.81,4,1794
16,4.59,1,1795
17,4.56,2,1795
18,4.53,3,1795
19,4.42,4,1795
20,4.07,1,1796
21,4.29,2,1796
22,4.36,3,1796
23,4.42,4,1796
24,4.45,1,1797
25,4.42,2,1797
26,4.41,3,1797
27,4.45,4,1797
28,4.45,1,1798
29,4.45,2,1798
30,4.36,3,1798
31,4.28,4,1798
32,4.39,1,1799
33,4.01,2,1799
34,4.01,3,1799
35,4.11,4,1799
36,4.45,1,1800
37,4.57,2,1800
38,4.57,3,1800
39,4.59,4,1800
40,4.36,1,1801
41,4.33,2,1801
42,4.36,3,1801
43,4.45,4,1801
44,4.41,1,1802
45,4.45,2,1802
46,4.56,3,1802
47,4.51,4,1802
48,4.47,1,1803
49,4.51,2,1803
50,4.6,3,1803
51,4.57,4,1803
52,4.57,1,1804
53,4.58,2,1804
54,4.55,3,1804
55,4.5,4,1804
56,4.41,1,1805
57,4.33,2,1805
58,4.27,3,1805
59,4.38,4,1805
60,4.39,1,1806
61,4.42,2,1806
62,4.45,3,1806
63,4.45,4,1806
64,4.41,1,1807
65,4.38,2,1807
66,4.45,3,1807
67,4.45,4,1807
68,4.45,1,1808
69,4.63,2,1808
70,4.68,3,1808
71,4.74,4,1808
72,4.75,1,1809
73,4.47,2,1809
74,4.53,3,1809
75,4.53,4,1809
76,4.32,1,1810
77,4.28,2,1810
78,4.33,3,1810
79,4.26,4,1810
80,4.01,1,1811
81,3.87,2,1811
82,3.71,3,1811
83,3.67,4,1811
84,3.67,1,1812
85,3.55,2,1812
86,3.56,3,1812
87,3.68,4,1812
88,3.68,1,1813
89,3.74,2,1813
90,3.73,3,1813
91,3.84,4,1813
92,4.05,1,1814
93,4.29,2,1814
94,4.1,3,1814
95,4.51,4,1814
96,4.54,1,1815
97,4.75,2,1815
98,5.03,3,1815
99,5.28,4,1815
100,5.2,1,1816
101,5.37,2,1816
102,5.25,3,1816
103,5.06,4,1816
104,4.68,1,1817
105,4.58,2,1817
106,4.56,3,1817
