,int_rate,quarter,year
0,0.1,1,2020
1,0.25,1,2020
2,0.75,3,2018
3,0.5,4,2017
4,0.25,3,2016
5,0.5,1,2009
6,1.0,1,2009
7,1.5,1,2009
8,2.0,4,2008
9,3.0,4,2008
10,4.5,4,2008
11,5.0,2,2008
12,5.25,1,2008
13,5.5,4,2007
14,5.75,3,2007
15,5.5,2,2007
16,5.25,1,2007
17,5.0,4,2006
18,4.75,3,2006
19,4.5,3,2005
20,4.75,3,2004
21,4.5,2,2004
22,4.25,2,2004
23,4.0,1,2004
24,3.75,4,2003
25,3.5,3,2003
26,3.75,1,2003
27,4.0,4,2001
28,4.5,4,2001
29,4.75,3,2001
30,5.0,3,2001
31,5.25,2,2001
32,5.5,2,2001
33,5.75,1,2001
34,6.0,1,2000
35,5.75,1,2000
36,5.5,4,1999
37,5.25,3,1999
38,5.0,2,1999
39,5.25,2,1999
40,5.5,1,1999
41,6.0,1,1999
42,6.25,4,1998
43,6.75,4,1998
44,7.25,4,1998
45,7.5,2,1998
46,7.25,4,1997
47,7.0,3,1997
48,6.75,3,1997
49,6.5,2,1997
50,6.25,2,1997
51,5.94,4,1996
52,5.69,2,1996
53,5.94,1,1996
54,6.13,1,1996
55,6.38,4,1995
56,6.63,1,1995
57,6.13,4,1994
58,5.63,3,1994
59,5.13,1,1994
60,5.38,4,1993
61,5.88,1,1993
62,6.88,4,1992
63,7.88,4,1992
64,8.88,3,1992
65,9.88,2,1992
66,10.38,3,1991
67,10.88,3,1991
68,11.38,2,1991
69,11.88,2,1991
70,12.38,1,1991
71,12.88,1,1991
72,13.38,1,1991
73,13.88,4,1990
74,14.88,4,1989
75,13.75,3,1989
76,13.88,3,1989
77,13.84,3,1989
78,13.75,2,1989
79,12.88,4,1988
80,11.88,3,1988
81,10.88,3,1988
82,10.38,3,1988
83,9.88,3,1988
84,8.88,2,1988
85,8.38,2,1988
86,7.88,2,1988
87,7.38,2,1988
88,7.88,2,1988
89,8.38,1,1988
90,8.88,1,1988
91,8.38,4,1987
92,8.88,4,1987
93,9.38,4,1987
94,9.88,3,1987
95,8.88,2,1987
96,9.38,2,1987
97,9.88,1,1987
98,10.38,1,1987
99,10.88,4,1986
100,9.88,2,1986
101,10.38,2,1986
102,10.88,2,1986
103,11.38,1,1986
104,12.38,1,1986
105,11.38,3,1985
106,11.88,3,1985
107,12.38,2,1985
108,12.88,1,1985
109,13.38,1,1985
110,13.88,1,1985
111,11.88,1,1985
112,9.5,4,1984
113,9.75,4,1984
114,10.0,4,1984
115,10.5,3,1984
116,10.75,3,1984
117,11.0,3,1984
118,11.5,3,1984
119,12.0,3,1984
120,10.0,3,1984
121,8.88,2,1984
122,9.06,2,1984
123,8.56,1,1984
124,8.81,1,1984
125,9.06,4,1983
126,9.56,3,1983
127,9.44,3,1983
128,9.56,2,1983
129,9.81,2,1983
130,10.06,2,1983
131,10.31,2,1983
132,10.56,1,1983
133,11.0,1,1983
134,10.0,4,1982
135,9.13,4,1982
136,9.38,4,1982
137,9.63,4,1982
138,10.13,3,1982
139,10.25,3,1982
140,10.38,3,1982
141,10.5,3,1982
142,10.63,3,1982
143,10.88,3,1982
144,11.0,3,1982
145,11.13,3,1982
146,11.25,3,1982
147,11.38,3,1982
148,11.5,3,1982
149,11.56,3,1982
150,11.63,3,1982
151,11.75,3,1982
152,11.81,3,1982
153,11.94,3,1982
154,12.06,3,1982
155,12.13,3,1982
156,12.25,3,1982
157,12.5,3,1982
158,12.63,2,1982
159,13.13,2,1982
160,13.0,2,1982
161,13.13,2,1982
162,13.25,1,1982
163,13.63,1,1982
164,13.81,1,1982
165,13.88,1,1982
166,14.0,1,1982
167,14.13,1,1982
168,14.25,1,1982
169,14.31,1,1982
170,14.38,4,1981
171,14.56,4,1981
172,14.63,4,1981
173,15.06,4,1981
174,15.13,4,1981
175,15.0,4,1981
176,14.0,3,1981
177,12.69,3,1981
178,12.0,1,1981
179,14.0,4,1980
180,16.0,3,1980
181,17.0,4,1979
182,14.0,2,1979
183,12.0,2,1979
184,13.0,1,1979
185,14.0,1,1979
186,12.5,4,1978
187,10.0,2,1978
188,9.0,2,1978
189,8.75,2,1978
190,7.5,2,1978
191,6.5,1,1978
192,7.0,4,1977
193,5.0,4,1977
194,5.5,4,1977
195,6.0,3,1977
196,6.5,3,1977
197,7.0,3,1977
198,7.5,3,1977
199,8.0,2,1977
200,8.25,2,1977
201,8.75,2,1977
202,9.0,2,1977
203,9.25,2,1977
204,9.5,1,1977
205,10.5,1,1977
206,11.0,1,1977
207,12.0,1,1977
208,12.25,1,1977
209,13.25,1,1977
210,14.0,1,1977
211,14.25,4,1976
212,14.5,4,1976
213,14.75,4,1976
214,15.0,4,1976
215,13.0,3,1976
216,11.5,2,1976
217,10.5,2,1976
218,9.0,1,1976
219,9.25,1,1976
220,9.5,1,1976
221,10.0,1,1976
222,10.5,1,1976
223,10.75,1,1976
224,11.0,1,1976
225,11.25,4,1975
226,11.5,4,1975
227,11.75,4,1975
228,12.0,4,1975
229,11.0,3,1975
230,10.0,2,1975
231,9.75,2,1975
232,10.0,1,1975
233,10.25,1,1975
234,10.5,1,1975
235,10.75,1,1975
236,11.0,1,1975
237,11.25,1,1975
